species,n,mean,cv
Bembix zonata,4,10.5,92.5
Anthidium florentinum males,17,17.6,85.2
Anthidium florentinum females,39,17.2,98.8
Anthidiellum breviusc,8,10.4,77.3
Megachile pilidens,14,21.1,157.4
Anthophora crassipes,7,27.1,124.1
Anthophora ochroleuca,11,26.5,103.2
Xylocopa violacea,15,18.1,106.4
Apis mellifera,66,27.4,102.4
Bombus lucorum,8,26.4,89
Eristalis tenax,9,15.9,138.2
Sphaerophoria scripta,4,12.3,139.1
Macroglossum stellatarum,14,7.4,90.6
Melanargia galathea,5,7,94.7
Argynnis paphia,10,2.3,79.6
Pandoriana pandora,6,2.3,79.6
Fabriciana adippe,39,8.2,123.6
Hesperia comma,7,14,99.6
