Area;Ants;Galleries;Herbivory;Domatia_volume;Leaf_area,
Decem,1
Decem,2
Decem,1
Decem,1
Decem,2
Decem,2
Decem,1
Decem,2
Decem,2
Decem,1
Decem,2
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Decem,2
Decem,2
Decem,3
Decem,1
Decem,1
Decem,1
Decem,2
Decem,1
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Octo,1
Octo,1
Octo,2
Octo,1
Octo,0
Octo,1
Octo,1
Octo,1
Octo,1
Octo,0
Octo,0
Octo,1
Octo,1
Octo,1
Octo,1
Octo,0
Octo,1
Octo,2
Octo,0
Octo,1
Octo,1
Octo,1
Octo,0
Octo,0
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,2
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,0
Octo,1
Octo,1
Octo,2
Octo,1
Octo,1
Octo,1
Octo,2
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,2
Octo,2
Octo,1
Octo,2
Octo,1
Octo,1
Octo,1
Octo,0
Octo,1
Octo,2
Octo,1
Octo,0
Octo,1
Octo,1
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Decem,1
Decem,1
Decem,1
Decem,1
Decem,1
Decem,3
Decem,2
Decem,3
Decem,1
Decem,1
Decem,1
Decem,2
Decem,1
Decem,2
Decem,2
Decem,2
Decem,1
Decem,1
Decem,2
Decem,2
Decem,1
Decem,1
Decem,3
Decem,1
Decem,1
Decem,2
Decem,1
Decem,3
Decem,1
Decem,2
Decem,1
Decem,1
Decem,1
Decem,3
Decem,1
Decem,3
Decem,2
Decem,1
Decem,2
Decem,2
Decem,2
Decem,2
Decem,1
Decem,2
Decem,2
Decem,1
Decem,3
Decem,2
Decem,3
Decem,4
Decem,2
Decem,2
Decem,1
Decem,2
Decem,2
Decem,3
Decem,1
Decem,2
Decem,1
Decem,3
Decem,1
Decem,2
Decem,2
Decem,1
Decem,3
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Decem,1
Decem,2
Decem,3
Decem,1
Decem,1
Decem,1
Decem,1
Decem,3
Decem,2
Decem,1
Decem,1
Decem,2
Decem,2
Decem,2
Decem,1
Decem,2
Decem,1
Decem,3
Decem,1
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Decem,3
Decem,3
Decem,1
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Decem,3
Decem,2
Decem,3
Decem,1
Decem,1
Decem,1
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Decem,1
Decem,2
Decem,3
Decem,1
Decem,1
Decem,3
Decem,3
Decem,3
Decem,1
Decem,1
Decem,3
Decem,4
Decem,2
Decem,3
Decem,2
Decem,2
Decem,3
Decem,1
Decem,3
Decem,1
Decem,2
Decem,3
Decem,3
Decem,2
Decem,1
Decem,2
Decem,1
Decem,0
Decem,2
Decem,2
Decem,1
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Decem,3
Decem,2
Decem,2
Decem,3
Decem,1
Decem,3
Decem,2
Decem,1
Decem,0
Decem,2
Decem,2
Decem,3
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Decem,1
Decem,0
Decem,2
Decem,2
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Decem,2
Decem,2
Decem,3
Decem,1
Decem,2
Decem,1
Decem,2
Decem,1
Decem,2
Decem,1
Decem,2
Decem,2
Decem,4
Decem,1
Decem,4
Decem,1
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Decem,2
Decem,3
Decem,1
Decem,2
Decem,3
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Decem,2
Decem,4
Decem,2
Decem,1
Decem,2
Decem,3
Decem,1
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Decem,0
Decem,1
Decem,1
Decem,1
Decem,2
Decem,2
Decem,0
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Decem,2
Decem,0
Decem,1
Decem,1
Decem,2
Decem,1
Decem,2
Decem,1
Decem,0
Decem,1
Decem,2
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,2
Decem,1
Decem,1
Decem,3
Decem,3
Decem,3
Decem,4
Decem,2
Decem,1
Decem,2
Decem,3
Decem,1
Decem,2
Decem,2
Decem,4
Decem,4
Decem,1
Decem,2
Decem,1
Decem,2
Decem,3
Decem,2
Decem,1
Decem,1
Octo,1
Octo,1
Octo,1
Octo,0
Octo,1
Octo,0
Octo,1
Octo,0
Octo,9
Octo,1
Octo,1
Octo,0
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,2
Octo,1
Octo,2
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,3
Octo,1
Octo,1
Octo,0
Octo,1
Octo,2
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,
Octo,0
Octo,2
Octo,4
Octo,2
Octo,2
Octo,1
Octo,0
Octo,1
Octo,2
Octo,0
Octo,0
Octo,1
Octo,2
Octo,1
Octo,2
Octo,0
Octo,0
Octo,2
Octo,2
Octo,2
Decem,2
Decem,2
Decem,1
Decem,1
Decem,2
Decem,1
Decem,2
Decem,2
Decem,1
Decem,2
Decem,3
Decem,2
Decem,1
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,2
Decem,2
Decem,1
Decem,2
Decem,2
Decem,3
Decem,2
Decem,2
Decem,1
Decem,1
Decem,1
Decem,2
Decem,1
Decem,2
Decem,1
Decem,1
Octo,0
Octo,0
Octo,1
Octo,1
Octo,1
Octo,2
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Octo,0
Octo,1
Octo,1
Octo,1
Octo,1
Octo,2
Octo,1
Octo,1
Octo,1
Octo,1
Octo,0
Octo,2
Octo,1
Octo,1
Octo,0
Octo,1
Octo,0
Octo,1
Octo,0
Octo,3
Octo,1
Octo,2
Octo,0
Octo,1
Octo,1
Octo,3
Octo,1
Octo,1
Octo,1
Octo,1
Octo,1
Decem,1
Decem,2
Decem,1
Decem,2
Decem,1
Decem,2
Decem,2
Decem,1
Decem,1
Decem,2
Decem,1
Decem,1
Decem,1
Decem,0
Decem,2
Decem,1
Decem,1
Decem,1
Decem,1
Decem,1
Decem,0
Decem,2
Decem,2
Decem,1
Decem,0
Decem,1
Decem,1
Decem,2
Decem,2
Decem,1
Decem,0
Decem,0
Decem,1
Decem,0
Decem,2
Decem,1
Decem,1
Decem,0
Decem,1
