Species,SDE
Meles meles,0.5
Meles meles,1
Meles meles,4
Meles meles,4.33
Meles meles,6
Meles meles,6.5
Meles meles,7
Meles meles,8
Meles meles,10
Meles meles,10
Meles meles,13
Oryctolagus cuniculus,0.285714286
Oryctolagus cuniculus,0.8
Oryctolagus cuniculus,1
Oryctolagus cuniculus,1
Oryctolagus cuniculus,1.333333333
Oryctolagus cuniculus,1.666666667
Oryctolagus cuniculus,1.75
Oryctolagus cuniculus,1.8
Oryctolagus cuniculus,2
Oryctolagus cuniculus,2
Oryctolagus cuniculus,2
Oryctolagus cuniculus,2.5
Oryctolagus cuniculus,2.83
Oryctolagus cuniculus,2.89
Oryctolagus cuniculus,3
Oryctolagus cuniculus,3
Oryctolagus cuniculus,3.4
Oryctolagus cuniculus,4
Oryctolagus cuniculus,6
Oryctolagus cuniculus,10
Oryctolagus cuniculus,11
Oryctolagus cuniculus,11.25
Oryctolagus cuniculus,13
Vulpes vulpes,2
Vulpes vulpes,2
Vulpes vulpes,2
Vulpes vulpes,4
