treat.no,Wt
Bradyrhizobium13-5R34,6.38
Bradyrhizobium13-5R34,2.23
Bradyrhizobium13-5R34,1.88
Bradyrhizobium13-5R34,0.17
Bradyrhizobium13-5R34,3.08
Bradyrhizobium13-5R34,4.65
Bradyrhizobium13-5R34,4.58
Bradyrhizobium13-5R34,5.56
Bradyrhizobium13-5R34,2.09
Bradyrhizobium13-5R34,2.91
Bradyrhizobium13-5R34,6.09
Bradyrhizobium13-5R34,4.18
Bradyrhizobium21-2R35,1.87
Bradyrhizobium21-2R35,3.18
Bradyrhizobium21-2R35,1.86
Bradyrhizobium21-2R35,3.6
Bradyrhizobium21-2R35,0.43
Bradyrhizobium21-2R35,2.84
Bradyrhizobium21-2R35,4.53
Bradyrhizobium21-2R35,4.7
Bradyrhizobium21-2R35,0.2
Bradyrhizobium21-2R35,2.5
Bradyrhizobium21-2R35,3.7
Bradyrhizobium21-2R35,5.55
Bradyrhizobium23-2R20,3.35
Bradyrhizobium23-2R20,9.64
Bradyrhizobium23-2R20,4.53
Bradyrhizobium23-2R20,5.39
Bradyrhizobium23-2R20,4.95
Bradyrhizobium23-2R20,4.94
Bradyrhizobium23-2R20,3.22
Bradyrhizobium23-2R20,5.09
Bradyrhizobium23-2R20,5.55
Bradyrhizobium23-2R20,5.78
Bradyrhizobium23-2R20,7.42
Bradyrhizobium23-2R20,4.8
Bradyrhizobium10-1R29,0.08
Bradyrhizobium10-1R29,0.08
Bradyrhizobium10-1R29,0.08
Bradyrhizobium10-1R29,0.06
Bradyrhizobium10-1R29,0.09
Bradyrhizobium10-1R29,0.08
Bradyrhizobium10-1R29,0.06
Bradyrhizobium10-1R29,0.09
Bradyrhizobium10-1R29,0.05
Bradyrhizobium10-1R29,0.09
Bradyrhizobium10-1R29,0.09
Bradyrhizobium10-1R29,0.1
Mesorhizobium11-2R27,0.08
Mesorhizobium11-2R27,0.06
Mesorhizobium11-2R27,0.06
Mesorhizobium11-2R27,0.06
Mesorhizobium11-2R27,0.0566
Mesorhizobium11-2R27,0.0643
Mesorhizobium11-2R27,0.07
Mesorhizobium11-2R27,0.05
Mesorhizobium11-2R27,0.12
Mesorhizobium11-2R27,0.05
Mesorhizobium11-2R27,0.05
Mesorhizobium11-2R27,0.07
Mesorhizobium43-1R15,0.1
Mesorhizobium43-1R15,0.1
Mesorhizobium43-1R15,0.0375
Mesorhizobium43-1R15,0.68
Mesorhizobium43-1R15,0.11
Mesorhizobium43-1R15,0.08
Mesorhizobium43-1R15,0.12
Mesorhizobium43-1R15,0.09
Mesorhizobium43-1R15,0.17
Mesorhizobium43-1R15,0.03
Mesorhizobium43-1R15,0.02
Mesorhizobium43-1R15,0.07
Mesorhizobium34-2R6,0.1
Mesorhizobium34-2R6,0.1
Mesorhizobium34-2R6,0.08
Mesorhizobium34-2R6,0.09
Mesorhizobium34-2R6,0.0825
Mesorhizobium34-2R6,0.0586
Mesorhizobium34-2R6,0.08
Mesorhizobium34-2R6,0.1
Mesorhizobium34-2R6,0.2
Mesorhizobium34-2R6,0.09
Mesorhizobium34-2R6,0.13
Mesorhizobium34-2R6,0.02
Mesorhizobium24-2R18,0.11
Mesorhizobium24-2R18,0.08
Mesorhizobium24-2R18,0.07
Mesorhizobium24-2R18,0.07
Mesorhizobium24-2R18,0.0355
Mesorhizobium24-2R18,0.07
Mesorhizobium24-2R18,0.0606
Mesorhizobium24-2R18,0.04
Mesorhizobium24-2R18,0.06
Mesorhizobium24-2R18,0.11
Mesorhizobium24-2R18,0.08
Mesorhizobium24-2R18,0.12
Rhizobium44-1R9,1.4
Rhizobium44-1R9,1.26
Rhizobium44-1R9,3.32
Rhizobium44-1R9,1.72
Rhizobium44-1R9,3.2
Rhizobium44-1R9,0.67
Rhizobium44-1R9,3.77
Rhizobium44-1R9,2.61
Rhizobium44-1R9,1.33
Rhizobium44-1R9,2.87
Rhizobium44-1R9,3.12
Rhizobium44-1R9,2.33
Rhizobium4-2R5,NA
Rhizobium4-2R5,0.37
Rhizobium4-2R5,0.12
Rhizobium4-2R5,0.01
Rhizobium4-2R5,0.02
Rhizobium4-2R5,0.02
Rhizobium4-2R5,0.06
Rhizobium4-2R5,0.07
Rhizobium4-2R5,0.07
Rhizobium4-2R5,0.06
Rhizobium4-2R5,0.07
Rhizobium4-2R5,0.02
Rhizobium12-1R21,0.11
Rhizobium12-1R21,0.11
Rhizobium12-1R21,0.08
Rhizobium12-1R21,0.0678
Rhizobium12-1R21,0.06
Rhizobium12-1R21,0.07
Rhizobium12-1R21,0.0694
Rhizobium12-1R21,0.1
Rhizobium12-1R21,0.12
Rhizobium12-1R21,0.05
Rhizobium12-1R21,0.08
Rhizobium12-1R21,0.1
Rhizobium44-2R38,2.42
Rhizobium44-2R38,2.5
Rhizobium44-2R38,3.29
Rhizobium44-2R38,3.18
Rhizobium44-2R38,2.94
Rhizobium44-2R38,3.14
Rhizobium44-2R38,2.7
Rhizobium44-2R38,3.54
Rhizobium44-2R38,1.73
Rhizobium44-2R38,1.7
Rhizobium44-2R38,2.47
Rhizobium44-2R38,1.7
Sinorhizobium23-2R4,0.17
Sinorhizobium23-2R4,0.12
Sinorhizobium23-2R4,2.64
Sinorhizobium23-2R4,0.22
Sinorhizobium23-2R4,0.14
Sinorhizobium23-2R4,0.05
Sinorhizobium23-2R4,3.5
Sinorhizobium23-2R4,1
Sinorhizobium23-2R4,0.1
Sinorhizobium23-2R4,0.11
Sinorhizobium23-2R4,0.12
Sinorhizobium23-2R4,0.25
Sinorhizobium3-3R30,4.27
Sinorhizobium3-3R30,4.53
Sinorhizobium3-3R30,3.51
Sinorhizobium3-3R30,2.8
Sinorhizobium3-3R30,4.83
Sinorhizobium3-3R30,4.1
Sinorhizobium3-3R30,2.94
Sinorhizobium3-3R30,4.77
Sinorhizobium3-3R30,3.95
Sinorhizobium3-3R30,6.57
Sinorhizobium3-3R30,2.13
Sinorhizobium3-3R30,3.51
Sinorhizobium44-1R6,0.12
Sinorhizobium44-1R6,0.75
Sinorhizobium44-1R6,0.09
Sinorhizobium44-1R6,0.06
Sinorhizobium44-1R6,0.12
Sinorhizobium44-1R6,0.08
Sinorhizobium44-1R6,0.07
Sinorhizobium44-1R6,0.0318
Sinorhizobium44-1R6,0.1
Sinorhizobium44-1R6,0.06
Sinorhizobium44-1R6,0.12
Sinorhizobium44-1R6,0.36
Sinorhizobium37-1R27,0.07
Sinorhizobium37-1R27,0.11
Sinorhizobium37-1R27,0.0721
Sinorhizobium37-1R27,0.08
Sinorhizobium37-1R27,0.07
Sinorhizobium37-1R27,NA
Sinorhizobium37-1R27,0.79
Sinorhizobium37-1R27,0.03
Sinorhizobium37-1R27,0.14
Sinorhizobium37-1R27,0.06
Sinorhizobium37-1R27,0.03
Sinorhizobium37-1R27,0.19
