Strain,Shoots_uninoc_mg,Shoots_mg,mass
Bradyrhizobium#18,94.3,70.9,0.751855779
Bradyrhizobium#18,44.4,78.3,1.763513514
Bradyrhizobium#18,3.3,72.7,22.03030303
Bradyrhizobium#18,3.4,69.7,20.5
Bradyrhizobium#18,40.5,71.6,1.767901235
Bradyrhizobium#18,7.4,101.9,13.77027027
Bradyrhizobium#18,2.4,53.6,22.33333333
Bradyrhizobium#18,17.3,128.2,7.410404624
Bradyrhizobium#18,7.4,94,12.7027027
Bradyrhizobium#18,6,68.9,11.48333333
Bradyrhizobium#18,2.7,53.2,19.7037037
Bradyrhizobium#18,4.8,81.4,16.95833333
Bradyrhizobium#18,9.3,104,11.1827957
Bradyrhizobium#18,31.7,138.8,4.378548896
Bradyrhizobium#18,116.5,135.2,1.160515021
Bradyrhizobium#18,4.5,82,18.22222222
Bradyrhizobium#18,3.6,44.9,12.47222222
Bradyrhizobium#18,3.3,53.6,16.24242424
Bradyrhizobium#18,66.4,175.5,2.643072289
Bradyrhizobium#18,69.6,179.6,2.58045977
Bradyrhizobium#18,4,67.8,16.95
Bradyrhizobium#18,3.6,70.4,19.55555556
Bradyrhizobium#18,57.6,152.1,2.640625
Bradyrhizobium#18,32.7,95.7,2.926605505
Bradyrhizobium#18,9.1,92.3,10.14285714
Bradyrhizobium#18,2.7,96.9,35.88888889
Bradyrhizobium#18,66.3,191.1,2.882352941
Bradyrhizobium#18,5.2,65.2,12.53846154
Bradyrhizobium#18,8.9,53.3,5.988764045
Bradyrhizobium#18,9.5,106.8,11.24210526
Bradyrhizobium#18,123.5,157,1.271255061
Bradyrhizobium#18,10,111.7,11.17
Bradyrhizobium#18,5.1,75.1,14.7254902
Bradyrhizobium#18,10.5,116.3,11.07619048
Bradyrhizobium#18,2.2,73.7,33.5
Bradyrhizobium#18,60.9,210.3,3.45320197
Bradyrhizobium#18,8.7,99.8,11.47126437
Bradyrhizobium#18,3.3,58.1,17.60606061
Bradyrhizobium#18,4.2,115.7,27.54761905
Bradyrhizobium#18,3.2,78.5,24.53125
Bradyrhizobium#18,76.7,255.5,3.331160365
Bradyrhizobium#18,137.9,200.5,1.453952139
